title,link,news_source
"US airstrike survivors clung to boat wreckage for an hour before second deadly attack, video shows",https://news.google.com/read/CBMi3gFBVV95cUxPQzlVVVhtbEw0S0RpMzZwQ1dfR0kzY2lmTkl1VHlIQXpHbXNHODBnUkEyWUZuTHZUWkpRRXQtM2R1U29xWWt2cUxZNXJRUGxUT0VBbm1KUDZGQ3VmMnY2aGJDZGo1VzhqVVZ0QzNiYzhrUHJ3N2ZqRnJYdGVqdG9CWkxKS0ZPTVN0OE1NTHVvcEtfWTdCb2Y4MGhCSEV1MUVSX1ZEM1NkOVZvWGVFdFlPcWxNRXNKSkppbU10WmtTb0lHNm9hNDJCV3RsSlNoUzIycW1uOThOYS1CaGNtUnc?hl=en-US&gl=US&ceid=US%3Aen,The Guardian
Judges lash out at Justice Department for still listing Lindsey Halligan on court documents,https://news.google.com/read/CBMiqgFBVV95cUxNTEc4NTRqQ3VYNlFlYkZjX1NkRVN1N0I2bW5DQU4zeUlLSHpWWHFWWTczYUdrS1c3Q0thenBtOTc1NVBtZkN4amcwVG5iUFNpdVhkTTBoUXVyR2pjZXRYekRMTS0zNjEyM3BHMVgxNVFiaEpvTUxaaGlTVWM5cTVHRk9hVXZGUEF0N1BmU3FBYnMxZWdxWjVJSEZFQ0Z2S2pyQ3dBYUplMU42Zw?hl=en-US&gl=US&ceid=US%3Aen,CNN
"Who is the Jan. 6 pipe bomb suspect? And, lawmakers see video of deadly boat strike",https://news.google.com/read/CBMiwwFBVV95cUxOWXF5MHNvUXlLbTJuM2FNNElfTW16SU8wMldNcW9YSFFFcWtJMWttR2p2Q0JKR3Q3LWVjNXUzdTRfb1loU0VadnFzNzc0dmN6Z3lDZk1TMGd3UVJ2ODJELVEwMEEtZUNKUWVDeUxQRE5FMWpSdVZ5eEUtcWpKMmwtXzhvSEFQSTV6QU1ZNE9lOHIxdG5YZEpfOTQtcFJCYnlBSkNUYW9jbnhXWVhPV3J5bnBsYkotTmZfV09lQ082N0FQQWM?hl=en-US&gl=US&ceid=US%3Aen,NPR
Olivia Nuzzi and Ryan Lizza Went From a $1 Million Book Deal to a War of the Exes,https://news.google.com/read/CBMilgFBVV95cUxPeDZlakhRZ2ZfSC1OSkphX1ozZkNCVE50OTR4SHN3VFVSeW1YeXlhWlBmRWpoNnlJdmxtVlBMMW14QmVDSXlUS191eHlvUjctQ01CYWd6bDNpYUltc01uc3VHNElfNFFYbWFaR1oyNU9UQzdxZlAwYmxWem1OYXJ6amxJVVN2U0Vvbm5UUGdSSzV5RWg2Mnc?hl=en-US&gl=US&ceid=US%3Aen,The Wall Street Journal
Trump ventures deeper into anti-immigrant language by calling people from Somalia 'garbage',https://news.google.com/read/CBMirAFBVV95cUxQWFBRZ0I5U2RMUE1vX3l1am90VF9VM2NQY1VPTVlMSGpVdnNIS0pUa3dBdTRidGJ6LXBmMDV5UlMxcGI1MG1LTndwcF9HSDdNX0o5aHM0V251MTRsalBxTlNLTHFlVnlzQ1hDT2k3d0I2TjhVM2xTUEpNdTgwZEhaUGFXSWVFUGtRdzM4SDZRQ2p1UXpPQ01WM001OERrX2RZM2llbjY4UlZKT2ty?hl=en-US&gl=US&ceid=US%3Aen,AP News
"Trump administration says Europe risks 'civilisational erasure', drawing outcry",https://news.google.com/read/CBMitAFBVV95cUxQMk9RUGhHVHRqd3IxeThsTkVmbG1EclBLTlFySFNUSDN1dkFjeFlvdVREdHRXRkZiVUE2SmxJZ0RBTUQya2JUdHM2WGpaN1dUeFhzTWRoZ285X0pVZXRxSzg1c3d5dE5zQXUyMXphcjh1SVkyc256SlVoSnNGN0YzeXU4RTk4eUZJcnk1TmlQLWRGd3dFY3E1Z0t0RVY0eE9pQy1ULTltNzhHTjdoTVRWVEFyWHU?hl=en-US&gl=US&ceid=US%3Aen,Reuters
Mike Johnson scrambles to pass Pentagon bill as GOP ranks seethe,https://news.google.com/read/CBMiiAFBVV95cUxPeC00ck5ZOVlrQmxseVVaRjMyd2FQbnZiRmVqcEEtOWFyX0NDRENGeEZldmpCNjdIUDg0NV9zVkVzZHNBeUJTUWVfcTZrM0wwd0J6VFJjN1hKQWdRR2k3OUMyc0hTV08xYWl4Q2lzOHdJZ09LTnJ6QTBkSU5qZzhoeDNucGpTZi1q?hl=en-US&gl=US&ceid=US%3Aen,Politico
Triple polar vortex sends temperatures plunging in central and eastern U.S. as 1st Arctic cold blast moves in,https://news.google.com/read/CBMi_wFBVV95cUxOQXFLb3Q2Q010ZlIyNlhMdEhmQkRrOE9nYk14NE44U0ZyQWV4VlJiQ2U2TGs3bFQzQWZoZEM5Y0c2OXY1SkNaS2lDNEtQNF9jX2hPQmphMTFZNllDZHB4WTB1NnlRVzV1QUtFbWVhLXhDRE1BMlJTektIS0ZUdWxWVXRNLWNjcVRKWGpFNGNueG9OZkV1ZWVCUFB6ME9BOFhnMFhBRVRUUmcxOVQ2MWE2TjZkUjFXWmtmS2VTR3BfQVk1VThXRnB5elgxcEtCOWlyM2ZrNzZrdjJuN0ZzT2FEVnJzVHBpRWtGbTJjMjlYVkFmRG1acW9uQ0Z4NHJfa1k?hl=en-US&gl=US&ceid=US%3Aen,Yahoo
Homeland security head reveals plans to widen US travel ban to more than 30 countries,https://news.google.com/read/CBMiekFVX3lxTFBiS19xWThuSk9LZlhHWnRWUFpFTlpiakZZaGw0YWlQUXNBOE0yTW5kUTdUUnQ2dVdJWXQyNXBBU3hFdXh4czQ0RU91dkVWZnc4ek9LVGR1aTBvUENCSXNGM1hHNjhYZmQ5ZUQtY2RZVWVDclhQQW1Ia0tn?hl=en-US&gl=US&ceid=US%3Aen,The Guardian
Trump fired this regulator. She’s fighting him to the Supreme Court.,https://news.google.com/read/CBMirAFBVV95cUxPNmI1OURGVWJpU0dmOElKcmNXUk5nM2l6emZrOEszaUFrQ0tsMnlLRFNfUkR3dzd5Rkh1UERTeUNSdEFPMFRvUHRvdTRPT21OU0RzUFNuNHJsbkt6aDg1S1JLYWx5VDR4TzZsZzU4YXpqLVc0a1lpM2dVdjduRk53Yi1qdkJHQWR5aVJYM3pMbE9OM1p0RFhrM3cxX2hLaGFraGhjYXV1UG9YVTNO?hl=en-US&gl=US&ceid=US%3Aen,The Washington Post
